[INFO] [1789635018.730863685] [vision_manager]: Subscribed to rgb=/rgb, depth=/depth, camera_info=/camera_info, target_frame=wrist_camera_optical_frame
[INFO] [1789635020.423335396] [vision_manager]: Book detected: xyz=(-0.086, -0.179, 0.401), center=(252, 98)
[INFO] [1789635020.425471468] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635020.427469909] [vision_manager]: Book detected: xyz=(-0.114, -0.096, 0.516), center=(250, 181)
[INFO] [1789635020.429429255] [vision_manager]: Book detected: xyz=(0.641, 0.000, 0.869), center=(554, 240)
[INFO] [1789635020.431364793] [vision_manager]: Book detected: xyz=(-0.116, -0.021, 0.511), center=(248, 227)
[INFO] [1789635020.433101296] [vision_manager]: Book detected: xyz=(-0.091, 0.045, 0.401), center=(248, 276)
[INFO] [1789635020.434172200] [vision_manager]: No placeable empty shelf position found
[INFO] [1789635020.577234472] [vision_manager]: Book detected: xyz=(-0.087, -0.179, 0.401), center=(251, 98)
[INFO] [1789635020.578802777] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635020.580339380] [vision_manager]: Book detected: xyz=(0.636, 0.000, 0.869), center=(552, 240)
[INFO] [1789635020.582003241] [vision_manager]: Book detected: xyz=(-0.126, -0.094, 0.563), center=(249, 187)
[INFO] [1789635020.583638755] [vision_manager]: Book detected: xyz=(-0.126, -0.021, 0.556), center=(248, 228)
[INFO] [1789635020.585129093] [vision_manager]: Book detected: xyz=(-0.092, 0.047, 0.401), center=(247, 277)
[INFO] [1789635020.585984708] [vision_manager]: No placeable empty shelf position found
[INFO] [1789635020.695464075] [vision_manager]: Book detected: xyz=(-0.087, -0.179, 0.401), center=(251, 98)
[INFO] [1789635020.696571972] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635020.697548341] [vision_manager]: Book detected: xyz=(-0.124, -0.092, 0.563), center=(250, 188)
[INFO] [1789635020.698493273] [vision_manager]: Book detected: xyz=(0.627, 0.000, 0.869), center=(549, 240)
[INFO] [1789635020.699549675] [vision_manager]: Book detected: xyz=(-0.128, -0.020, 0.563), center=(248, 229)
[INFO] [1789635020.700596276] [vision_manager]: Book detected: xyz=(-0.091, 0.044, 0.400), center=(248, 275)
[INFO] [1789635020.701452840] [vision_manager]: No placeable empty shelf position found
[INFO] [1789635020.812397435] [vision_manager]: Book detected: xyz=(-0.086, -0.179, 0.401), center=(252, 98)
[INFO] [1789635020.813381601] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635020.814329031] [vision_manager]: Book detected: xyz=(0.627, 0.000, 0.869), center=(549, 240)
[INFO] [1789635020.815265938] [vision_manager]: Book detected: xyz=(-0.126, -0.094, 0.563), center=(249, 187)
[INFO] [1789635020.816203483] [vision_manager]: Book detected: xyz=(-0.091, -0.024, 0.402), center=(248, 221)
[INFO] [1789635020.817137534] [vision_manager]: Book detected: xyz=(-0.091, 0.045, 0.401), center=(248, 276)
