[INFO] [1789634848.734569019] [vision_manager]: Subscribed to rgb=/rgb, depth=/depth, camera_info=/camera_info, target_frame=wrist_camera_optical_frame
[INFO] [1789634852.195914878] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789634852.196954643] [vision_manager]: Book detected: xyz=(0.638, 0.000, 0.869), center=(553, 240)
[INFO] [1789634852.197977255] [vision_manager]: Book detected: xyz=(-0.090, -0.022, 0.403), center=(249, 223)
[INFO] [1789634852.198993780] [vision_manager]: Book detected: xyz=(-0.091, 0.033, 0.400), center=(248, 266)
[INFO] [1789634852.325215078] [vision_manager]: Book detected: xyz=(-0.087, -0.180, 0.400), center=(251, 97)
[INFO] [1789634852.326799269] [vision_manager]: Book detected: xyz=(-0.116, -0.096, 0.525), center=(250, 182)
[INFO] [1789634852.328124432] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789634852.329484087] [vision_manager]: Book detected: xyz=(0.636, 0.000, 0.869), center=(552, 240)
[INFO] [1789634852.330933304] [vision_manager]: Book detected: xyz=(-0.092, -0.021, 0.411), center=(249, 224)
[INFO] [1789634852.332543231] [vision_manager]: Book detected: xyz=(-0.090, 0.029, 0.400), center=(249, 263)
[INFO] [1789634852.444428331] [vision_manager]: Book detected: xyz=(-0.087, -0.180, 0.400), center=(251, 97)
[INFO] [1789634852.445381305] [vision_manager]: Book detected: xyz=(-0.116, -0.096, 0.534), center=(251, 183)
[INFO] [1789634852.446287428] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789634852.447473593] [vision_manager]: Book detected: xyz=(0.630, 0.000, 0.869), center=(550, 240)
[INFO] [1789634852.448443557] [vision_manager]: Book detected: xyz=(-0.090, -0.022, 0.403), center=(249, 223)
[INFO] [1789634852.449333796] [vision_manager]: Book detected: xyz=(-0.090, 0.029, 0.400), center=(249, 263)
[INFO] [1789634852.580598375] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789634852.582147503] [vision_manager]: Book detected: xyz=(-0.116, -0.096, 0.534), center=(251, 183)
[INFO] [1789634852.583733444] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789634852.585786953] [vision_manager]: Book detected: xyz=(0.633, 0.000, 0.869), center=(551, 240)
[INFO] [1789634852.587749991] [vision_manager]: Book detected: xyz=(-0.092, -0.021, 0.411), center=(249, 224)
[INFO] [1789634852.712968407] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
