[INFO] [1789635189.508931429] [vision_manager]: Subscribed to rgb=/rgb, depth=/depth, camera_info=/camera_info, target_frame=wrist_camera_optical_frame
[INFO] [1789635192.821372513] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635192.822394253] [vision_manager]: Book detected: xyz=(-0.114, -0.096, 0.507), center=(249, 180)
[INFO] [1789635192.823389379] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635192.824350371] [vision_manager]: Book detected: xyz=(0.638, 0.000, 0.869), center=(553, 240)
[INFO] [1789635192.825381480] [vision_manager]: Book detected: xyz=(-0.091, -0.024, 0.402), center=(248, 221)
[INFO] [1789635192.826462086] [vision_manager]: Book detected: xyz=(-0.092, 0.040, 0.400), center=(247, 272)
[INFO] [1789635192.934998175] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635192.936857503] [vision_manager]: Book detected: xyz=(-0.114, -0.096, 0.516), center=(250, 181)
[INFO] [1789635192.938579170] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635192.940038964] [vision_manager]: Book detected: xyz=(0.630, 0.000, 0.869), center=(550, 240)
[INFO] [1789635192.941545952] [vision_manager]: Book detected: xyz=(-0.100, -0.021, 0.439), center=(248, 225)
[INFO] [1789635192.943500797] [vision_manager]: Book detected: xyz=(-0.091, 0.037, 0.400), center=(248, 269)
[INFO] [1789635193.049173344] [vision_manager]: Book detected: xyz=(-0.085, -0.180, 0.400), center=(253, 97)
[INFO] [1789635193.050729035] [vision_manager]: Book detected: xyz=(-0.114, -0.096, 0.516), center=(250, 181)
[INFO] [1789635193.052406289] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635193.054128540] [vision_manager]: Book detected: xyz=(0.630, 0.000, 0.869), center=(550, 240)
[INFO] [1789635193.055648417] [vision_manager]: Book detected: xyz=(-0.090, -0.027, 0.401), center=(249, 219)
[INFO] [1789635193.056875914] [vision_manager]: Book detected: xyz=(-0.092, 0.038, 0.400), center=(247, 270)
[INFO] [1789635193.156827066] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635193.157830779] [vision_manager]: Book detected: xyz=(-0.115, -0.096, 0.516), center=(249, 181)
[INFO] [1789635193.158892776] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635193.159929341] [vision_manager]: Book detected: xyz=(0.636, 0.000, 0.869), center=(552, 240)
[INFO] [1789635193.161508992] [vision_manager]: Book detected: xyz=(-0.091, -0.027, 0.401), center=(248, 219)
[INFO] [1789635193.162985104] [vision_manager]: Book detected: xyz=(-0.092, 0.040, 0.400), center=(247, 272)
[INFO] [1789635193.265014497] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635193.265972279] [vision_manager]: Book detected: xyz=(-0.114, -0.096, 0.516), center=(250, 181)
[INFO] [1789635193.266877028] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635193.267792247] [vision_manager]: Book detected: xyz=(0.616, 0.000, 0.869), center=(545, 240)
[INFO] [1789635193.268691139] [vision_manager]: Book detected: xyz=(-0.090, -0.028, 0.401), center=(249, 218)
[INFO] [1789635193.269587635] [vision_manager]: Book detected: xyz=(-0.092, 0.040, 0.400), center=(247, 272)
[INFO] [1789635193.374007152] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635193.375258780] [vision_manager]: Book detected: xyz=(-0.112, -0.096, 0.507), center=(250, 180)
[INFO] [1789635193.376503834] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635193.377749000] [vision_manager]: Book detected: xyz=(0.606, 0.003, 0.869), center=(541, 241)
[INFO] [1789635193.379183718] [vision_manager]: Book detected: xyz=(-0.100, -0.021, 0.439), center=(248, 225)
[INFO] [1789635193.380397090] [vision_manager]: Book detected: xyz=(-0.091, 0.038, 0.400), center=(248, 270)
[INFO] [1789635193.481395369] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635193.482344214] [vision_manager]: Book detected: xyz=(-0.114, -0.096, 0.516), center=(250, 181)
[INFO] [1789635193.483256202] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635193.484154884] [vision_manager]: Book detected: xyz=(0.608, 0.000, 0.869), center=(542, 240)
[INFO] [1789635193.485057509] [vision_manager]: Book detected: xyz=(-0.093, -0.021, 0.411), center=(248, 224)
[INFO] [1789635193.485944068] [vision_manager]: Book detected: xyz=(-0.092, 0.039, 0.400), center=(247, 271)
[INFO] [1789635193.604500829] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635193.606116353] [vision_manager]: Book detected: xyz=(-0.110, -0.096, 0.507), center=(251, 180)
[INFO] [1789635193.607763431] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635193.609351321] [vision_manager]: Book detected: xyz=(0.614, 0.000, 0.869), center=(544, 240)
[INFO] [1789635193.610831850] [vision_manager]: Book detected: xyz=(-0.091, -0.022, 0.403), center=(248, 223)
[INFO] [1789635193.612289182] [vision_manager]: Book detected: xyz=(-0.092, 0.037, 0.400), center=(247, 269)
[INFO] [1789635193.739923620] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635193.741163492] [vision_manager]: Book detected: xyz=(-0.112, -0.096, 0.507), center=(250, 180)
[INFO] [1789635193.742855266] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635193.744535844] [vision_manager]: Book detected: xyz=(0.606, 0.000, 0.869), center=(541, 240)
[INFO] [1789635193.746125025] [vision_manager]: Book detected: xyz=(-0.090, -0.025, 0.401), center=(249, 220)
[INFO] [1789635193.747349604] [vision_manager]: Book detected: xyz=(-0.092, 0.037, 0.400), center=(247, 269)
[INFO] [1789635193.878345212] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635193.879600100] [vision_manager]: Book detected: xyz=(-0.112, -0.096, 0.507), center=(250, 180)
[INFO] [1789635193.880819131] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635193.882021680] [vision_manager]: Book detected: xyz=(0.611, 0.000, 0.869), center=(543, 240)
[INFO] [1789635193.883234973] [vision_manager]: Book detected: xyz=(-0.091, -0.023, 0.402), center=(248, 222)
[INFO] [1789635193.884275081] [vision_manager]: Book detected: xyz=(-0.092, 0.035, 0.400), center=(247, 268)
[INFO] [1789635194.026789677] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635194.028023129] [vision_manager]: Book detected: xyz=(-0.112, -0.096, 0.507), center=(250, 180)
[INFO] [1789635194.029160562] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635194.030240190] [vision_manager]: Book detected: xyz=(0.614, 0.000, 0.869), center=(544, 240)
[INFO] [1789635194.031336602] [vision_manager]: Book detected: xyz=(-0.093, -0.021, 0.411), center=(248, 224)
[INFO] [1789635194.032470279] [vision_manager]: Book detected: xyz=(-0.091, 0.035, 0.400), center=(248, 268)
[INFO] [1789635194.233305149] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635194.234277325] [vision_manager]: Book detected: xyz=(-0.112, -0.096, 0.507), center=(250, 180)
[INFO] [1789635194.235204200] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635194.236091112] [vision_manager]: Book detected: xyz=(0.611, 0.000, 0.869), center=(543, 240)
[INFO] [1789635194.236968480] [vision_manager]: Book detected: xyz=(-0.091, -0.022, 0.403), center=(248, 223)
[INFO] [1789635194.237849984] [vision_manager]: Book detected: xyz=(-0.091, 0.038, 0.400), center=(248, 270)
[INFO] [1789635194.365530538] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635194.367089872] [vision_manager]: Book detected: xyz=(-0.112, -0.096, 0.499), center=(249, 179)
[INFO] [1789635194.368544033] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635194.369855540] [vision_manager]: Book detected: xyz=(0.608, 0.000, 0.869), center=(542, 240)
[INFO] [1789635194.371045055] [vision_manager]: Book detected: xyz=(-0.093, -0.021, 0.411), center=(248, 224)
[INFO] [1789635194.372253823] [vision_manager]: Book detected: xyz=(-0.092, 0.037, 0.400), center=(247, 269)
[INFO] [1789635194.511182823] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635194.513283646] [vision_manager]: Book detected: xyz=(-0.110, -0.096, 0.499), center=(250, 179)
[INFO] [1789635194.514666376] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635194.515915215] [vision_manager]: Book detected: xyz=(0.636, 0.000, 0.869), center=(552, 240)
[INFO] [1789635194.517198936] [vision_manager]: Book detected: xyz=(-0.098, -0.021, 0.439), center=(249, 225)
[INFO] [1789635194.518439584] [vision_manager]: Book detected: xyz=(-0.091, 0.033, 0.400), center=(248, 266)
[INFO] [1789635194.637802712] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635194.638770400] [vision_manager]: Book detected: xyz=(-0.110, -0.096, 0.499), center=(250, 179)
[INFO] [1789635194.639686094] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635194.640596388] [vision_manager]: Book detected: xyz=(0.633, 0.000, 0.869), center=(551, 240)
[INFO] [1789635194.641505882] [vision_manager]: Book detected: xyz=(-0.092, -0.021, 0.411), center=(249, 224)
[INFO] [1789635194.642426690] [vision_manager]: Book detected: xyz=(-0.092, 0.023, 0.402), center=(247, 258)
[INFO] [1789635194.781835244] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635194.783097968] [vision_manager]: Book detected: xyz=(-0.110, -0.096, 0.499), center=(250, 179)
[INFO] [1789635194.784148487] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635194.785178951] [vision_manager]: Book detected: xyz=(0.633, 0.000, 0.869), center=(551, 240)
[INFO] [1789635194.786212690] [vision_manager]: Book detected: xyz=(-0.093, -0.021, 0.411), center=(248, 224)
[INFO] [1789635194.787246467] [vision_manager]: Book detected: xyz=(-0.094, 0.020, 0.402), center=(246, 256)
[INFO] [1789635194.927783662] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635194.928744106] [vision_manager]: Book detected: xyz=(-0.110, -0.096, 0.499), center=(250, 179)
[INFO] [1789635194.929662444] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635194.930573137] [vision_manager]: Book detected: xyz=(0.625, 0.000, 0.869), center=(548, 240)
[INFO] [1789635194.931479809] [vision_manager]: Book detected: xyz=(-0.093, -0.021, 0.411), center=(248, 224)
[INFO] [1789635194.932390811] [vision_manager]: Book detected: xyz=(-0.092, 0.035, 0.400), center=(247, 268)
[INFO] [1789635195.061017294] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635195.062902917] [vision_manager]: Book detected: xyz=(-0.108, -0.096, 0.491), center=(250, 178)
[INFO] [1789635195.064388671] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635195.065850646] [vision_manager]: Book detected: xyz=(0.647, 0.000, 0.869), center=(556, 240)
[INFO] [1789635195.067370819] [vision_manager]: Book detected: xyz=(-0.090, -0.022, 0.403), center=(249, 223)
[INFO] [1789635195.069160965] [vision_manager]: Book detected: xyz=(-0.091, 0.032, 0.400), center=(248, 265)
[INFO] [1789635195.191516068] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635195.193742607] [vision_manager]: Book detected: xyz=(-0.110, -0.096, 0.499), center=(250, 179)
[INFO] [1789635195.196604454] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635195.198416075] [vision_manager]: Book detected: xyz=(0.627, 0.003, 0.869), center=(549, 241)
[INFO] [1789635195.199934107] [vision_manager]: Book detected: xyz=(-0.092, -0.021, 0.411), center=(249, 224)
[INFO] [1789635195.201449971] [vision_manager]: Book detected: xyz=(-0.091, 0.032, 0.400), center=(248, 265)
[INFO] [1789635195.331294686] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635195.332353940] [vision_manager]: Book detected: xyz=(-0.108, -0.096, 0.491), center=(250, 178)
[INFO] [1789635195.333390939] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635195.334407292] [vision_manager]: Book detected: xyz=(0.636, 0.000, 0.869), center=(552, 240)
[INFO] [1789635195.335386789] [vision_manager]: Book detected: xyz=(-0.091, -0.022, 0.403), center=(248, 223)
[INFO] [1789635195.336320755] [vision_manager]: Book detected: xyz=(-0.091, 0.035, 0.400), center=(248, 268)
[INFO] [1789635195.444262162] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635195.445280777] [vision_manager]: Book detected: xyz=(-0.112, -0.096, 0.507), center=(250, 180)
[INFO] [1789635195.446268609] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635195.447255119] [vision_manager]: Book detected: xyz=(0.638, 0.003, 0.869), center=(553, 241)
[INFO] [1789635195.448269150] [vision_manager]: Book detected: xyz=(-0.093, -0.021, 0.411), center=(248, 224)
[INFO] [1789635195.449214196] [vision_manager]: Book detected: xyz=(-0.092, 0.038, 0.400), center=(247, 270)
[INFO] [1789635195.570759354] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635195.572016894] [vision_manager]: Book detected: xyz=(-0.112, -0.096, 0.507), center=(250, 180)
[INFO] [1789635195.573240220] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635195.574435665] [vision_manager]: Book detected: xyz=(0.627, 0.000, 0.869), center=(549, 240)
[INFO] [1789635195.575591963] [vision_manager]: Book detected: xyz=(-0.090, -0.023, 0.402), center=(249, 222)
[INFO] [1789635195.576619868] [vision_manager]: Book detected: xyz=(-0.092, 0.034, 0.400), center=(247, 267)
[INFO] [1789635195.722916678] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635195.724652808] [vision_manager]: Book detected: xyz=(-0.112, -0.096, 0.507), center=(250, 180)
[INFO] [1789635195.725845559] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635195.726973745] [vision_manager]: Book detected: xyz=(0.630, 0.000, 0.869), center=(550, 240)
[INFO] [1789635195.728094988] [vision_manager]: Book detected: xyz=(-0.093, -0.021, 0.411), center=(248, 224)
[INFO] [1789635195.729149138] [vision_manager]: Book detected: xyz=(-0.092, 0.035, 0.400), center=(247, 268)
[INFO] [1789635195.840743247] [vision_manager]: Book detected: xyz=(-0.086, -0.179, 0.401), center=(252, 98)
[INFO] [1789635195.841758063] [vision_manager]: Book detected: xyz=(-0.110, -0.096, 0.499), center=(250, 179)
[INFO] [1789635195.842750674] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635195.843722224] [vision_manager]: Book detected: xyz=(0.633, 0.000, 0.869), center=(551, 240)
[INFO] [1789635195.845024723] [vision_manager]: Book detected: xyz=(-0.091, -0.022, 0.403), center=(248, 223)
[INFO] [1789635195.846598907] [vision_manager]: Book detected: xyz=(-0.091, 0.035, 0.400), center=(248, 268)
[INFO] [1789635195.957971196] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635195.959119823] [vision_manager]: Book detected: xyz=(-0.110, -0.096, 0.499), center=(250, 179)
[INFO] [1789635195.960179138] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635195.961247266] [vision_manager]: Book detected: xyz=(0.633, 0.000, 0.869), center=(551, 240)
[INFO] [1789635195.962348734] [vision_manager]: Book detected: xyz=(-0.091, -0.022, 0.403), center=(248, 223)
[INFO] [1789635195.963319797] [vision_manager]: Book detected: xyz=(-0.091, 0.034, 0.400), center=(248, 267)
[INFO] [1789635196.070531437] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635196.071595207] [vision_manager]: Book detected: xyz=(-0.110, -0.096, 0.499), center=(250, 179)
[INFO] [1789635196.072611118] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635196.073636080] [vision_manager]: Book detected: xyz=(0.611, 0.000, 0.869), center=(543, 240)
[INFO] [1789635196.074790258] [vision_manager]: Book detected: xyz=(-0.091, -0.023, 0.402), center=(248, 222)
[INFO] [1789635196.076505100] [vision_manager]: Book detected: xyz=(-0.091, 0.038, 0.400), center=(248, 270)
[INFO] [1789635196.206929429] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635196.208215254] [vision_manager]: Book detected: xyz=(-0.110, -0.096, 0.499), center=(250, 179)
[INFO] [1789635196.209345407] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635196.210414479] [vision_manager]: Book detected: xyz=(0.625, 0.003, 0.869), center=(548, 241)
[INFO] [1789635196.211423410] [vision_manager]: Book detected: xyz=(-0.091, -0.022, 0.403), center=(248, 223)
[INFO] [1789635196.212433857] [vision_manager]: Book detected: xyz=(-0.091, 0.035, 0.400), center=(248, 268)
[INFO] [1789635196.331334669] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635196.332135940] [vision_manager]: Book detected: xyz=(-0.110, -0.096, 0.499), center=(250, 179)
[INFO] [1789635196.333025584] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635196.334263049] [vision_manager]: Book detected: xyz=(0.619, 0.000, 0.869), center=(546, 240)
[INFO] [1789635196.335095242] [vision_manager]: Book detected: xyz=(-0.090, -0.022, 0.403), center=(249, 223)
[INFO] [1789635196.335924304] [vision_manager]: Book detected: xyz=(-0.091, 0.029, 0.400), center=(248, 263)
[INFO] [1789635196.483471128] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635196.485545871] [vision_manager]: Book detected: xyz=(-0.108, -0.096, 0.491), center=(250, 178)
[INFO] [1789635196.487329275] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635196.489180804] [vision_manager]: Book detected: xyz=(0.630, 0.000, 0.869), center=(550, 240)
[INFO] [1789635196.490951931] [vision_manager]: Book detected: xyz=(-0.091, -0.023, 0.402), center=(248, 222)
[INFO] [1789635196.492724063] [vision_manager]: Book detected: xyz=(-0.092, 0.030, 0.400), center=(247, 264)
[INFO] [1789635196.620661962] [vision_manager]: Book detected: xyz=(-0.085, -0.180, 0.400), center=(253, 97)
[INFO] [1789635196.622358109] [vision_manager]: Book detected: xyz=(-0.112, -0.096, 0.507), center=(250, 180)
[INFO] [1789635196.623861209] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635196.625388133] [vision_manager]: Book detected: xyz=(0.622, 0.000, 0.869), center=(547, 240)
[INFO] [1789635196.626810017] [vision_manager]: Book detected: xyz=(-0.091, -0.024, 0.402), center=(248, 221)
[INFO] [1789635196.628287076] [vision_manager]: Book detected: xyz=(-0.093, 0.032, 0.400), center=(246, 265)
[INFO] [1789635196.780148086] [vision_manager]: Book detected: xyz=(-0.086, -0.180, 0.400), center=(252, 97)
[INFO] [1789635196.781349071] [vision_manager]: Book detected: xyz=(-0.110, -0.096, 0.499), center=(250, 179)
[INFO] [1789635196.782633804] [vision_manager]: Book detected: xyz=(0.734, 0.005, 0.869), center=(588, 242)
[INFO] [1789635196.783679794] [vision_manager]: Book detected: xyz=(0.638, 0.000, 0.869), center=(553, 240)
