[어긋남] step 2112 phase=carry_rotate  원점기준 0.15 cm | 형상중심기준 0.01 cm | 쥔점기준 0.02 cm | 손기준 회전 0.1°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2142 phase=carry_rotate  원점기준 0.13 cm | 형상중심기준 0.01 cm | 쥔점기준 0.03 cm | 손기준 회전 0.1°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2172 phase=carry_rotate  원점기준 0.12 cm | 형상중심기준 0.02 cm | 쥔점기준 0.03 cm | 손기준 회전 0.1°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2202 phase=carry_rotate  원점기준 0.11 cm | 형상중심기준 0.02 cm | 쥔점기준 0.03 cm | 손기준 회전 0.1°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2232 phase=carry_rotate  원점기준 0.11 cm | 형상중심기준 0.03 cm | 쥔점기준 0.04 cm | 손기준 회전 0.1°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2262 phase=carry_rotate  원점기준 0.10 cm | 형상중심기준 0.03 cm | 쥔점기준 0.04 cm | 손기준 회전 0.1°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2292 phase=carry_rotate  원점기준 0.09 cm | 형상중심기준 0.04 cm | 쥔점기준 0.05 cm | 손기준 회전 0.1°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2322 phase=carry_rotate  원점기준 0.09 cm | 형상중심기준 0.04 cm | 쥔점기준 0.05 cm | 손기준 회전 0.1°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2352 phase=carry_rotate  원점기준 0.08 cm | 형상중심기준 0.05 cm | 쥔점기준 0.06 cm | 손기준 회전 0.0°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2382 phase=carry_rotate  원점기준 0.08 cm | 형상중심기준 0.05 cm | 쥔점기준 0.06 cm | 손기준 회전 0.0°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2412 phase=carry_rotate  원점기준 0.07 cm | 형상중심기준 0.06 cm | 쥔점기준 0.06 cm | 손기준 회전 0.0°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2442 phase=carry_rotate  원점기준 0.07 cm | 형상중심기준 0.07 cm | 쥔점기준 0.07 cm | 손기준 회전 0.0°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2472 phase=wedge  원점기준 0.05 cm | 형상중심기준 0.07 cm | 쥔점기준 0.07 cm | 손기준 회전 0.0°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2502 phase=wedge  원점기준 0.01 cm | 형상중심기준 0.02 cm | 쥔점기준 0.02 cm | 손기준 회전 0.0°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2532 phase=wedge  원점기준 0.04 cm | 형상중심기준 0.08 cm | 쥔점기준 0.08 cm | 손기준 회전 0.0°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2562 phase=wedge  원점기준 0.03 cm | 형상중심기준 0.03 cm | 쥔점기준 0.03 cm | 손기준 회전 0.0°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2592 phase=wedge  원점기준 0.05 cm | 형상중심기준 0.08 cm | 쥔점기준 0.08 cm | 손기준 회전 0.0°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2622 phase=wedge  원점기준 0.03 cm | 형상중심기준 0.06 cm | 쥔점기준 0.06 cm | 손기준 회전 0.0°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2652 phase=wedge  원점기준 0.05 cm | 형상중심기준 0.06 cm | 쥔점기준 0.06 cm | 손기준 회전 0.0°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2682 phase=wedge  원점기준 0.02 cm | 형상중심기준 0.03 cm | 쥔점기준 0.03 cm | 손기준 회전 0.0°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2712 phase=wedge  원점기준 0.06 cm | 형상중심기준 0.07 cm | 쥔점기준 0.07 cm | 손기준 회전 0.0°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] step 2742 phase=wedge  원점기준 0.06 cm | 형상중심기준 0.09 cm | 쥔점기준 0.09 cm | 손기준 회전 0.0°  (최대 0.49 / 0.10 / 0.10 cm / 0.2°)
[어긋남] 지렛대(책 원점↔형상중심) 163.2 cm — 손 안에서 1° 돌면 원점·형상중심 기준이 28.5 mm 움직인 것으로 찍힌다. 쥔점 기준은 이 증폭이 없다 (SIM_DRIFT_METRIC=grip)
[어긋남] step 1144 phase=carry_rotate  원점기준 0.06 cm | 형상중심기준 0.06 cm | 쥔점기준 0.06 cm | 손기준 회전 0.0°  (최대 0.06 / 0.06 / 0.06 cm / 0.0°)
[어긋남] step 1174 phase=carry_rotate  원점기준 0.44 cm | 형상중심기준 0.12 cm | 쥔점기준 0.12 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1204 phase=carry_rotate  원점기준 0.44 cm | 형상중심기준 0.12 cm | 쥔점기준 0.12 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1234 phase=carry_rotate  원점기준 0.44 cm | 형상중심기준 0.12 cm | 쥔점기준 0.12 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1264 phase=carry_rotate  원점기준 0.44 cm | 형상중심기준 0.12 cm | 쥔점기준 0.12 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1294 phase=carry_rotate  원점기준 0.44 cm | 형상중심기준 0.12 cm | 쥔점기준 0.12 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1324 phase=carry_rotate  원점기준 0.44 cm | 형상중심기준 0.12 cm | 쥔점기준 0.12 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1354 phase=carry_rotate  원점기준 0.44 cm | 형상중심기준 0.12 cm | 쥔점기준 0.12 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1384 phase=carry_rotate  원점기준 0.44 cm | 형상중심기준 0.12 cm | 쥔점기준 0.12 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1414 phase=carry_rotate  원점기준 0.44 cm | 형상중심기준 0.12 cm | 쥔점기준 0.12 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1444 phase=carry_rotate  원점기준 0.44 cm | 형상중심기준 0.12 cm | 쥔점기준 0.12 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1474 phase=carry_rotate  원점기준 0.44 cm | 형상중심기준 0.12 cm | 쥔점기준 0.12 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1504 phase=carry_rotate  원점기준 0.44 cm | 형상중심기준 0.12 cm | 쥔점기준 0.12 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1534 phase=carry_rotate  원점기준 0.44 cm | 형상중심기준 0.12 cm | 쥔점기준 0.12 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1564 phase=carry_rotate  원점기준 0.10 cm | 형상중심기준 0.09 cm | 쥔점기준 0.09 cm | 손기준 회전 0.0°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1594 phase=carry_rotate  원점기준 0.09 cm | 형상중심기준 0.09 cm | 쥔점기준 0.09 cm | 손기준 회전 0.0°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1624 phase=carry_rotate  원점기준 0.09 cm | 형상중심기준 0.09 cm | 쥔점기준 0.08 cm | 손기준 회전 0.0°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1654 phase=carry_rotate  원점기준 0.08 cm | 형상중심기준 0.08 cm | 쥔점기준 0.08 cm | 손기준 회전 0.0°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1684 phase=carry_rotate  원점기준 0.29 cm | 형상중심기준 0.04 cm | 쥔점기준 0.05 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1714 phase=carry_rotate  원점기준 0.29 cm | 형상중심기준 0.04 cm | 쥔점기준 0.05 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1744 phase=carry_rotate  원점기준 0.27 cm | 형상중심기준 0.03 cm | 쥔점기준 0.04 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1774 phase=carry_rotate  원점기준 0.26 cm | 형상중심기준 0.02 cm | 쥔점기준 0.04 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1804 phase=carry_rotate  원점기준 0.24 cm | 형상중심기준 0.02 cm | 쥔점기준 0.03 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
[어긋남] step 1834 phase=carry_rotate  원점기준 0.23 cm | 형상중심기준 0.01 cm | 쥔점기준 0.03 cm | 손기준 회전 0.2°  (최대 0.44 / 0.12 / 0.12 cm / 0.2°)
