[INFO] [1789702442.047562534] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702442.208968319] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702442.210279905] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702442.253893717] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702442.356078132] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702442.361600388] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702442.533880158] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702442.597093673] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702442.730882651] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702442.778808386] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702442.882094220] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702442.925476413] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702443.015060735] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702443.138921721] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702443.194743856] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702443.298581707] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702443.419995788] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702443.463964880] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702443.464628940] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702443.507595028] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702443.610807231] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702443.655238814] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702443.745802662] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702443.856421031] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702444.001920892] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702444.003501961] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702444.032467561] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702444.137165788] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702444.177853484] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702444.286061968] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702444.289877397] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702444.385314456] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702444.494792098] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702444.498641549] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702444.558934046] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
[INFO] [1789702444.662405143] [task_manager_node]: Manipulation feedback: phase=MOVING_TO_PRE_INSERT, progress=0.41
